"Id","Title","Abstract"
1337,"Process Optimization on Micro-Aeration Supply for High Production Yield of 2,3-Butanediol from Maltodextrin by Metabolically-Engineered Klebsiella oxytoca.","An optimization process with a cheap and abundant substrate is considered one of the factors affecting the price of the production of economical 2,3-Butanediol (2,3-BD). A combination of the conventional method and response surface methodology (RSM) was applied in this study. The optimized levels of pH, aeration rate, agitation speed, and substrate concentration (maltodextrin) were investigated to determine the cost-effectiveness of fermentative 2,3-BD production by metabolically-engineered Klebsiella oxytoca KMS005. Results revealed that pH, aeration rate, agitation speed, and maltodextrin concentration at levels of 6.0, 0.8 vvm, 400 rpm, and 150 g/L respectively were the optimal conditions. RSM also indicated that the agitation speed was the most influential parameter when either agitation and aeration interaction or agitation and substrate concentration interaction played important roles for 2,3-BD production by the strain from maltodextrin. Under interim fed-batch fermentation, 2,3-BD concentration, yield, and productivity were obtained at 88.1±0.2 g/L, 0.412±0.001 g/g, and 1.13±0.01 g/L/h respectively within 78 h."
1642,"First case report of an adrenocortical carcinoma caused by a BRCA2 mutation.","Adrenocortical carcinoma (ACC) may rarely be a component of inherited cancer syndromes such as Li-Fraumeni syndrome and Beckwith-Wiedemann syndrome. ACC caused by a BRCA2 mutation has never been reported.|Nucleotide sequencing of BRCA2 in lymphocyte and tumoral DNA of a 50-year-old male who presented with an androgen-secreting ACC and a strong family history of breast, ovarian, and pancreatic cancers.|A germline BRCA2 2 bp heterozygous deletion at nucleotide 8765 (8765delAG) leading to a frameshift mutation (p.Glu2846GlyfsX23) was detected. Only the BRCA2 deleted allele was retained in the ACC tumoral DNA compared with the control DNA supporting a loss of heterozygosity in the tumor.|This is the first reported case of a patient with ACC associated with a BRCA2 germline mutation. Loss of heterozygosity in ACC DNA suggests a causal link with the BRCA2 8765delAG mutation."
1867,"Screen of Non-annotated Small Secreted Proteins of Pseudomonas syringae Reveals a Virulence Factor That Inhibits Tomato Immune Proteases.","Pseudomonas syringae pv. tomato DC3000 (PtoDC3000) is an extracellular model plant pathogen, yet its potential to produce secreted effectors that manipulate the apoplast has been under investigated. Here we identified 131 candidate small, secreted, non-annotated proteins from the PtoDC3000 genome, most of which are common to Pseudomonas species and potentially expressed during apoplastic colonization. We produced 43 of these proteins through a custom-made gateway-compatible expression system for extracellular bacterial proteins, and screened them for their ability to inhibit the secreted immune protease C14 of tomato using competitive activity-based protein profiling. This screen revealed C14-inhibiting protein-1 (Cip1), which contains motifs of the chagasin-like protease inhibitors. Cip1 mutants are less virulent on tomato, demonstrating the importance of this effector in apoplastic immunity. Cip1 also inhibits immune protease Pip1, which is known to suppress PtoDC3000 infection, but has a lower affinity for its close homolog Rcr3, explaining why this protein is not recognized in tomato plants carrying the Cf-2 resistance gene, which uses Rcr3 as a co-receptor to detect pathogen-derived protease inhibitors. Thus, this approach uncovered a protease inhibitor of P. syringae, indicating that also P. syringae secretes effectors that selectively target apoplastic host proteases of tomato, similar to tomato pathogenic fungi, oomycetes and nematodes."
1422,"Copper trafficking to the secretory pathway.","Copper (Cu) is indispensible for growth and development of human organisms. It is required for such fundamental and ubiquitous processes as respiration and protection against reactive oxygen species. Cu also enables catalytic activity of enzymes that critically contribute to the functional identity of many cells and tissues. Pigmentation, production of norepinephrine by the adrenal gland, the key steps in the formation of connective tissue, neuroendocrine signaling, wound healing - all these processes require Cu and depend on Cu entering the secretory pathway. To reach the Cu-dependent enzymes in a lumen of the trans-Golgi network and various vesicular compartments, Cu undertakes a complex journey crossing the extracellular and intracellular membranes and staying firmly on course while traveling in a cytosol. The proteins that assist Cu in this journey by mediating its entry, distribution, and export, have been identified. The accumulating data also indicate that the current model of cellular Cu homeostasis is still a ""skeleton"" that has to be fleshed out with many new details. This review summarizes recent data on the mechanisms responsible for Cu transfer to the secretory pathway. The emerging new concepts and gaps in our knowledge are discussed."
2401,"Near complete genome sequence of the animal feed probiotic, Bacillus amyloliquefaciens H57.","Bacillus amyloliquefaciens H57 is a bacterium isolated from lucerne for its ability to prevent feed spoilage. Further interest developed when ruminants fed with H57-inoculated hay showed increased weight gain and nitrogen retention relative to controls, suggesting a probiotic effect. The near complete genome of H57 is ~3.96 Mb comprising 16 contigs. Within the genome there are 3,836 protein coding genes, an estimated sixteen rRNA genes and 69 tRNA genes. H57 has the potential to synthesise four different lipopeptides and four polyketide compounds, which are known antimicrobials. This antimicrobial capacity may facilitate the observed probiotic effect."
2057,"Absolute Ligand Discrimination by Dimeric Signaling Receptors.","Many signaling pathways act through shared components, where different ligand molecules bind the same receptors or activate overlapping sets of response regulators downstream. Nevertheless, different ligands acting through cross-wired pathways often lead to different outcomes in terms of the target cell behavior and function. Although a number of mechanisms have been proposed, it still largely remains unclear how cells can reliably discriminate different molecular ligands under such circumstances. Here we show that signaling via ligand-induced receptor dimerization-a very common motif in cellular signaling-naturally incorporates a mechanism for the discrimination of ligands acting through the same receptor."
2249,"Asthma in Rhinosinusitis: A Survey from Iran.","The coexistence of asthma and chronic rhinosinusitis (CRS) is more common than expected given their individual prevalence in the general population and may affect patient's quality of life. The aim of this study was to evaluate the prevalence of asthma in chronic rhinosinusitis in Mashhad, Northeast Iran.|This study was performed in two university hospital from November 2012 for 12 months. In total, 153 patients with chronic rhinosinusitis were enrolled and referred to a particular pulmonologist for asthma evaluation.|The mean age of participants was 40.54±13.11 years, and 41.8% were male. In total, 63.4% of patients had the polypoid form of CRS. The proportion of patients in this study with asthma was 41.8%, compared with a general asthma prevalence in this region of 13.5%.|There is a high prevalence of asthma among patients with CRS, but it often remains undiagnosed. Asthma in CRS patients should be diagnosed and treated in order to improve patient's quality of life. We recommend an evaluation of the lower airways in all of these patients as well as further studies in this field."
2390,"Primary Gastric Chorioadenocarcinoma.","Primary gastric chorioadenocarcinoma (PGC) is a rare and rapidly invasive tumor. Choriocarcinoma is usually known to be of endometrial origin and gestational; however, it has been reported in other extragenital organs, such as the gall bladder, prostate, lung, liver, and the gastrointestinal tract. Human chorionic gonadotropin related neoplasms of the stomach are seldom discussed in the literature. We report a case of PGC in a 56-year-old man treated with a standard non-gestational choriocarcinoma chemotherapy regimen, EMA/CO (etoposide, methotrexate, actinomycin D, cyclophosphamide, vincristine), with a complete response and good tolerability."
1801,"Pattern of Uveitis in a Tertiary Ophthalmology Center in Thailand.","To study the etiology and pattern of uveitis in a tertiary ophthalmology center in Thailand.|A cross-sectional study was conducted on uveitis patients presenting to a uveitis clinic at Ramathibodi Hospital, Thailand, between February 2014 and January 2015.|A total of 758 uveitis patients were enrolled into this study. The most common identified cause was herpetic uveitis (17.2%), followed by Vogt-Koyanagi-Harada disease (13.5%), cytomegalovirus uveitis (12.7%), and HLA-B27/spondyloarthropathy-associated uveitis (12.4%).|Herpetic uveitis was the commonest form of infectious uveitis, whereas Vogt-Koyanagi-Harada disease was most frequently seen as the non-infectious cause of uveitis in Thailand."
1639,"Femoral nerve block for patient undergoing total knee arthroplasty: Prospective, randomized, double-blinded study evaluating analgesic effect of perineural fentanyl additive to local anesthetics.","The existence of peripheral opioid receptors and its effectiveness in peripheral nerve block remain controversial. The aim of this prospective, randomized, double-blinded study was to examine the analgesic effects of adding fentanyl to ropivacaine for continuous femoral nerve block (CFNB) using patient-controlled analgesia after total knee arthroplasty (TKA).|The patients were divided into 2 groups, each with n = 40 in ropivacaine (R) group and n = 42 in R with fentanyl (R + F) group. After operation, the patients in each group received R + F and R alone via a femoral nerve catheter, respectively. We assessed the visual analog scale (VAS) pain immediately before administration (baseline) and at 15, 30, and 60 minutes on postanesthesia care unit (PACU), and resting and ambulatory VAS score up to 24 hours.|Overall, the average VAS scores in the R + F group were slightly lower than those of the R group. However, the VAS score differences between groups were not statistically significant, except for 30 minutes (P = 0.009) in PACU. R group showed higher supplemental analgesics consumption in average compared with R + F group, but not significant.|Additional fentanyl did not show prominent enhancement of analgesic effect in the field of CFNB after TKA."
